nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,documentos_citados,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,affil_id,departamento,idgruplac,nombre_grupo,idcvlac
D. M. Perilla-Orozco,Perilla-Orozco D.,58202197200,9-s2.0-58202197200,,1,2023-05-03,0,0,0,3,new,Medicine (all),2023-2023,Universidad del Cauca,122436003,Departamento de Medicina Social y Salud Familiar,,,
Juan David Prado López,López J.,57191338934,9-s2.0-57191338934,,1,2016-10-04,0,0,0,2,new,Signal Processing;Computer Science Applications;Information Systems;Artificial Intelligence;Computer Networks and Communications;Modeling and Simulation,2016-2016,Universidad del Cauca,109856659,Department of Telecommunications,,,
Edwar Alejandro Giraldo Munoz,Munoz E.,57188852040,9-s2.0-57188852040,,1,2016-04-28,0,0,0,2,update,Computer Science (all),2015-2015,Universidad del Cauca,105194737,IDIS Research Group,,,
Stefania Arango Cuartas,Cuartas S.,57311775300,9-s2.0-57311775300,,1,2021-11-02,0,0,0,1,new,"Urban Studies;Arts and Humanities (miscellaneous);Geography, Planning and Development",2021-2021,Fundación Universitaria de Popayán,60108709,No Aplica,,,
María Yubely Anacona-Cruz,Anacona-Cruz M.,57952944800,9-s2.0-57952944800,,1,2022-11-15,0,0,0,5,update,Obstetrics and Gynecology,2022-2022,Universidad Libre;Asociación Indígena del Cauca,60104967;128816171, ;Entidad Administradora de Planes de Beneficios,,,
Jaime Bonilla,Bonilla J.,57201017219,9-s2.0-57201017219,,1,2018-03-10,0,0,0,6,new,"Pediatrics, Perinatology and Child Health",2015-2015,Universidad del Cauca,104717536,Department of Pediatrics,,,
Daniela Lagos,Lagos D.,57224511045,9-s2.0-57224511045,,1,2021-06-17,0,0,0,3,new,Surgery,2021-2021,Universidad del Cauca,120313626,Programa de Medicina,,,
Luis Fernando Alape Realpe,Alape Realpe L.,57782960300,9-s2.0-57782960300,,1,2022-07-12,0,0,0,4,new,Bioengineering,2022-2022,Corporación Universitaria Comfacauca,128310660,Faculty of Engineering,,,
Jissel E. Piscal,Piscal J.,56358480700,9-s2.0-56358480700,,1,2014-09-24,0,0,0,2,new,Information Systems;Computer Science Applications;Artificial Intelligence,2013-2013,Universidad del Cauca,108661908,"Departamento de Electrónica, Instrumentación y Control",,,
Alex Rojas,Rojas A.,55434860800,9-s2.0-55434860800,,1,2012-11-03,0,0,0,1,update,Education,2012-2012,Universidad del Cauca,60051434,No Aplica,,,
Jairo Roa-Fajardo,Roa-Fajardo J.,55317789000,9-s2.0-55317789000,,1,2012-07-29,0,0,0,2,update,Mathematics (all),2012-2012,Universidad del Cauca,104717531,Department of Mathematics,,,
Regina Victoria Plaza-Rivera,Plaza-Rivera R.,57200112176,9-s2.0-57200112176,,1,2018-01-04,0,0,0,7,new,Medicine (all),2017-2017,Universidad del Cauca,104717539,Department of Internal Medicine,,,
Abelardo Ramos,Ramos A.,55841525300,9-s2.0-55841525300,,1,2013-09-09,0,0,0,5,update,Sociology and Political Science;Human-Computer Interaction,2006-2006,CRIC - Consejo Regional Indígena del Cauca,113845992,No Aplica,,,
Andrea Moreno Martinez,Martinez A.,57215313489,9-s2.0-57215313489,,1,2020-03-08,0,0,0,3,new,"Agronomy and Crop Science;Surfaces, Coatings and Films;Electrical and Electronic Engineering;Metals and Alloys;Renewable Energy, Sustainability and the Environment;Electronic, Optical and Magnetic Materials;Ecology;Energy Engineering and Power Technology",2019-2019,Fundación Universitaria de Popayán,123794581,Ingeniería Industrial,,,
Angel J. Ceballos,Ceballos A.,57209852484,9-s2.0-57209852484,,1,2019-07-19,0,0,0,3,new,Polymers and Plastics;Materials Chemistry,2019-2019,Universidad del Cauca,114232401,Faculty of Health Sciences,,,
Andrés M. Ibarra,Ibarra A.,56358861300,9-s2.0-56358861300,,1,2014-09-24,0,0,0,2,new,Artificial Intelligence;Information Systems;Computer Science Applications,2013-2013,Universidad del Cauca,108661908,"Departamento de Electrónica, Instrumentación y Control",,,
C. José Julio Tobar,José Julio Tobar C.,57219656271,9-s2.0-57219656271,,1,2020-11-03,0,0,0,3,new,Computer Science (all),2020-2020,Universidad del Cauca,60051434,No Aplica,,,
Diego F. Miranda,Miranda D.,56355178300,9-s2.0-56355178300,,1,2014-09-22,0,0,0,1,new,Artificial Intelligence;Computer Science Applications;Information Systems,2014-2014,Universidad del Cauca,60051434,No Aplica,,,
Jessica Vanessa Sandoval Acevedo,Sandoval Acevedo J.,57219848455,9-s2.0-57219848455,,1,2020-11-13,0,0,0,5,new,Pharmacology (medical);Pharmacology,2020-2020,Fundación Universitaria de Popayán,60108709,No Aplica,,,
Nazly Sanchez Pena,Pena N.,57484215800,9-s2.0-57484215800,,1,2022-03-16,0,0,0,2,new,"Pollution;Public Health, Environmental and Occupational Health",2021-2021,Universidad del Cauca,113340876,Departamento de Ing. Ambiental,,,
Juan Pablo Fernández,Fernández J.,58045484700,9-s2.0-58045484700,,1,2023-01-12,0,0,0,3,new,Social Sciences (miscellaneous);Social Sciences (all);Public Administration,2022-2022,Fundación Universitaria de Popayán,129051230,No Aplica,,,
Hernando López,López H.,7102312187,9-s2.0-7102312187,,1,2005-11-29,0,0,0,2,update,Anesthesiology and Pain Medicine;Critical Care and Intensive Care Medicine,2014-2014,Fundación Oftalmológica Vejarano;Hospital Universitario San José,114293784;114294946,Department of Anesthesiology,,,
Yulieth Estephany Martínez Meza,Martínez Meza Y.,58221216500,9-s2.0-58221216500,,1,2023-05-09,0,0,0,6,new,Obstetrics and Gynecology,2020-2020,Universidad del Cauca,60051434,No Aplica,,,
A. F. Pissos,Pissos A.,57211499418,9-s2.0-57211499418,,1,2019-11-02,0,0,0,3,new,Computer Science Applications;Electrical and Electronic Engineering;Industrial and Manufacturing Engineering;Control and Systems Engineering,2019-2019,Universidad del Cauca,113958173,Instrumentación y Control,,,
Óscar Castro,Castro Ó.,57213891773,9-s2.0-57213891773,,1,2020-01-29,0,0,0,6,new,"Pediatrics, Perinatology and Child Health",2015-2015,Universidad del Cauca,120313626,Programa de Medicina,,,
Karol Daniela Navarro Canencio,Navarro Canencio K.,58179046600,9-s2.0-58179046600,,1,2023-04-15,0,0,0,9,new,Computer Science Applications;Education,2020-2020,Universidad del Cauca,60051434,No Aplica,,,
Ricardo Velasco Arcos,Arcos R.,57208626311,9-s2.0-57208626311,,1,2019-05-13,0,0,0,3,new,Engineering (all),2018-2018,Universidad del Cauca,122510546,Facultad de Ingeniería Electrónica y Telecomunicaciones - Grupo I+D Nuevas Tecnologías en Telecomunicaciones,,,
Sonia Guerrero,Guerrero S.,57198816764,9-s2.0-57198816764,,1,2017-12-11,0,0,0,3,new,Computer Science (all),2017-2017,Universidad del Cauca,60051434,No Aplica,,,
Andrés Felipe David,David A.,57427375300,9-s2.0-57427375300,,1,2022-02-01,0,0,0,2,new,Computer Science (all),2021-2021,Fundación Universitaria de Popayán,60108709,No Aplica,,,
Ronald Hernández-Hernández,Hernández-Hernández R.,57218586960,9-s2.0-57218586960,,1,2020-08-26,0,0,0,3,new,Medicine (all),2020-2020,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud,,,
Isabella Muñoz-Paz,Muñoz-Paz I.,58209920900,9-s2.0-58209920900,,1,2023-05-06,0,0,0,2,new,Psychology (all),2023-2023,Universidad del Cauca,60051434,No Aplica,,,
Dalia V. Ruiz-García,Ruiz-García D.,56541597300,9-s2.0-56541597300,,1,2015-03-16,0,0,0,0,update,"Public Health, Environmental and Occupational Health",2014-2014,Universidad del Cauca,60051434,No Aplica,,,
Javier Tobar,Tobar J.,57730011400,9-s2.0-57730011400,,1,2022-06-12,0,0,0,1,new,Archeology;Anthropology,2022-2022,Universidad del Cauca,60051434,No Aplica,,,
Luque Armando Ordoñez,Ordoñez L.,57200111389,9-s2.0-57200111389,,1,2018-01-04,0,0,0,5,new,Medicine (all),2017-2017,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud,,,
José Francisco Estupiñán González,González J.,58086843000,9-s2.0-58086843000,,1,2023-02-06,0,0,0,2,new,Medicine (all),2023-2023,Universidad del Cauca,60051434,No Aplica,,,
Jover Steban Murcia Audor,Audor J.,57215326495,9-s2.0-57215326495,,1,2020-03-08,0,0,0,3,new,"Metals and Alloys;Agronomy and Crop Science;Renewable Energy, Sustainability and the Environment;Surfaces, Coatings and Films;Electrical and Electronic Engineering;Energy Engineering and Power Technology;Electronic, Optical and Magnetic Materials;Ecology",2019-2019,Fundación Universitaria de Popayán,123794581,Ingeniería Industrial,,,
Alfer Leonardo Cerón,Cerón A.,55841262900,9-s2.0-55841262900,,1,2013-09-09,0,0,0,5,update,Sociology and Political Science;Human-Computer Interaction,2006-2006,CRIC - Consejo Regional Indígena del Cauca,113845992,No Aplica,,,
Andrea Esperanza Tovar-León,Tovar-León A.,58156897600,9-s2.0-58156897600,,1,2023-03-31,0,0,0,3,new,Industrial and Manufacturing Engineering;Electrical and Electronic Engineering;Computer Science (miscellaneous);Engineering (miscellaneous),2020-2020,Corporación Universitaria Autónoma del Cauca,60276620,No Aplica,,,
Marco Sierra,Sierra M.,57201017089,9-s2.0-57201017089,,1,2018-03-10,0,0,0,6,new,"Pediatrics, Perinatology and Child Health",2015-2015,Universidad del Cauca,120313626,Programa de Medicina,,,
John Fernandez Ordonez,Ordonez J.,57423029800,9-s2.0-57423029800,,1,2022-01-28,0,0,0,4,new,Signal Processing;Computer Vision and Pattern Recognition;Instrumentation,2021-2021,Universidad del Cauca,115686071,Grupo GNTT,,,
A. Vasquez,Vasquez A.,7004778755,9-s2.0-7004778755,,1,2005-12-04,0,0,0,4,update,Hematology,1983-1983,Universidad del Cauca,104717547,Departmento de Medicina Interna,,,
Juan Jose Paredes,Paredes J.,57967736500,9-s2.0-57967736500,,1,2022-11-23,0,0,0,4,new,Transportation;Civil and Structural Engineering,2022-2022,Universidad del Cauca,104717554,Telematics Department,,,
Jorge Luis Sánchez Ortega,Ortega J.,57540182200,9-s2.0-57540182200,,1,2022-03-30,0,0,0,1,new,Chemistry (all),2022-2022,Universidad del Cauca,127873407,Campus Las Guacas,,,
Roberto C. Uribe,Uribe R.,57222144665,9-s2.0-57222144665,,1,2021-03-03,0,0,0,3,new,Computer Science (all),2020-2020,Universidad del Cauca,60051434,No Aplica,,,
Jorge Andrés Rosero Narváez,Rosero Narváez J.,57226748598,9-s2.0-57226748598,,1,2021-08-19,0,0,0,10,new,Rheumatology,2021-2021,Universidad del Cauca,120313626,Programa de Medicina,,,
Mónica A. Vargas-Urbano,Vargas-Urbano M.,57871719200,9-s2.0-57871719200,,1,2022-09-10,0,0,0,7,new,Materials Science (all);Condensed Matter Physics,2022-2022,"Universidad del Valle, Cali;Universidad del Cauca",113232407;104717556,Department of Physics;Grupo CYTEMAC,,,
María Paula Polo-Muñoz,Polo-Muñoz M.,57832297500,9-s2.0-57832297500,,1,2022-08-11,0,0,0,4,new,"Food Science;Ecology;Global and Planetary Change;Horticulture;Management, Monitoring, Policy and Law;Agronomy and Crop Science",2022-2022,Universidad del Cauca,122165944,Departamento de Ingeniería Agroindustrial,,,
Carlos H. Bolaños M,Bolaños M C.,57222135416,9-s2.0-57222135416,,1,2021-03-03,0,0,0,6,new,Computer Science (all),2020-2020,Institución Universitaria Colegio Mayor del Cauca,117795037,No Aplica,,,
Mariela Muñoz Añasco,Añasco M.,57893745800,9-s2.0-57893745800,,1,2022-09-27,0,0,0,3,new,Multidisciplinary,2022-2022,Universidad del Cauca,108218057,Facultad de Ingeniería Electrónica y Telecomunicaciones,,,
Edgar Sanclemente,Sanclemente E.,57226809326,9-s2.0-57226809326,,1,2021-08-21,0,0,0,5,update,Nephrology,2021-2021,Universidad del Cauca,104717539,Department of Internal Medicine,,,
J. Munoz Rengifo,Munoz Rengifo J.,57214634290,9-s2.0-57214634290,,1,2020-02-07,0,0,0,2,new,Obstetrics and Gynecology,1994-1994,Centro Medico Sigma,100890026,No Aplica,,,
Alejandra Isabel Guerrero Duymovic,Duymovic A.,57369480300,9-s2.0-57369480300,,1,2021-12-16,0,0,0,4,new,Materials Science (all),2021-2021,Universidad del Cauca,104717527,Department of Physics,,,
I. Jaramillo Arias,Jaramillo Arias I.,7801459666,9-s2.0-7801459666,,1,2005-12-03,0,0,0,2,update,,1994-1994,Centro Medico Sigma,100890026,No Aplica,,,
Daniela Fabara-Hernández,Fabara-Hernández D.,57998355800,9-s2.0-57998355800,,1,2022-12-14,0,0,0,6,new,"Occupational Therapy;Health Professions  (miscellaneous);Physical Therapy, Sports Therapy and Rehabilitation;Speech and Hearing;Public Health, Environmental and Occupational Health",2022-2022,Experiencia Kinés,128956705,No Aplica,,,
L. O. de Castro,de Castro L.,7006438406,9-s2.0-7006438406,,1,2005-11-28,0,0,0,2,update,Obstetrics and Gynecology,1995-1995,Universidad del Cauca,104717557,Depto de Patologia,,,
Chito Trujillo Diana,Diana C.,57223365712,9-s2.0-57223365712,,1,2021-05-19,0,0,0,4,new,Ceramics and Composites;Condensed Matter Physics,2021-2021,Universidad del Cauca,110043908,Exactas y de la Educación,,,
Nelson Adolfo López Garzón,Garzón N.,57841072800,9-s2.0-57841072800,,1,2022-08-24,0,0,0,14,update,Cardiology and Cardiovascular Medicine,2022-2022,Hospital Universitario San José,128459775,Department of Cardiology,,,
Andrea Salas,Salas A.,57201017045,9-s2.0-57201017045,,1,2018-03-10,0,0,0,6,update,"Pediatrics, Perinatology and Child Health",2015-2015,Universidad del Cauca,104717536,Department of Pediatrics,,,
Daniel Pusil,Pusil D.,57205420254,9-s2.0-57205420254,,1,2019-01-18,0,0,0,2,new,Theoretical Computer Science;Computer Science (all),2018-2018,Universidad del Cauca,115945793,Information Technology Research Group (GTI),,,
Elsy Patricia Muñoz Gomez,Gomez E.,57817465600,9-s2.0-57817465600,,1,2022-07-30,0,0,0,3,new,Computer Networks and Communications;Information Systems,2022-2022,Institución Universitaria Colegio Mayor del Cauca,125811395,No Aplica,,,
Santiago Andrés Aragón-Guzmán,Aragón-Guzmán S.,57642064400,9-s2.0-57642064400,,1,2022-05-04,0,0,0,3,new,Computer Science (all);Agricultural and Biological Sciences (all);Engineering (all),2022-2022,Universidad del Cauca,104717544,Department of Systems,,,
David Armando Caicedo Arturo,Caicedo Arturo D.,57941456100,9-s2.0-57941456100,,1,2022-11-01,0,0,0,3,new,Anesthesiology and Pain Medicine;Critical Care and Intensive Care Medicine;Advanced and Specialized Nursing;Critical Care Nursing,2016-2016,Clínica la Estancia,127657269,Unidad de Cuidado Intensivo Pediátrico,,,
Astrid Adriana Anacona,Anacona A.,57215504766,9-s2.0-57215504766,,1,2020-03-13,0,0,0,2,new,Computer Science (all),2020-2020,Institución Universitaria Colegio Mayor del Cauca,113372863,No Aplica,,,
L. Carlos Alberto Cobos,Carlos Alberto Cobos L.,57219657545,9-s2.0-57219657545,,1,2020-11-03,0,0,0,3,new,Computer Science (all),2020-2020,Universidad del Cauca,60051434,No Aplica,,,
Clara Inés Giraldo-Aristizábal,Giraldo-Aristizábal C.,57614892400,9-s2.0-57614892400,,1,2022-04-30,0,0,0,7,new,"History and Philosophy of Science;Physics and Astronomy (all);Agricultural and Biological Sciences (all);Mathematics (all);Earth and Planetary Sciences (all);Biochemistry, Genetics and Molecular Biology (all);Energy (all);Chemistry (all)",2022-2022,Universidad del Cauca,104717530,Department of Biology,,,
Carlos Maximiliano Priarone,Priarone C.,57484082000,9-s2.0-57484082000,,1,2022-03-16,0,0,0,2,new,Gastroenterology,2021-2021,Universidad del Cauca,60051434,No Aplica,,,
Mónica López Escobar,López Escobar M.,57941035400,9-s2.0-57941035400,,1,2022-10-31,0,0,0,2,new,Critical Care Nursing;Advanced and Specialized Nursing;Critical Care and Intensive Care Medicine;Anesthesiology and Pain Medicine,2018-2018,"Clínica Santa Gracia;Universidad del Valle, Cali",128778956;121361073, ;Especialista en Fisioterapia Cardiopulmonar,,,
Cristian Tobar,Tobar C.,57872049500,9-s2.0-57872049500,,1,2022-09-10,0,0,0,2,update,Nursing (all),2022-2022,Universidad del Cauca,60051434,No Aplica,,,
Gloria Cecilia Arboleda Fernández,Fernández G.,58136834700,9-s2.0-58136834700,,1,2023-03-18,0,0,0,2,new,Cultural Studies;Education;Social Sciences (miscellaneous);Philosophy;Psychology (miscellaneous);Anthropology,2022-2022,Universidad del Cauca,60051434,No Aplica,,,
Julián Felipe Villa-Rosero,Villa-Rosero J.,57211278002,9-s2.0-57211278002,,1,2019-10-18,0,0,0,6,new,Medicine (all),2019-2019,Hospital Universitario San José,123298390,Servicio de Urgencias,,,
Gissel Viviana Ruiz Astudillo,Astudillo G.,57221080873,9-s2.0-57221080873,,1,2021-01-01,0,0,0,5,new,Obstetrics and Gynecology,2020-2020,Universidad del Cauca,125571823,Médico y cirujano,,,
Mario F. Henao,Henao M.,56355125200,9-s2.0-56355125200,,1,2014-09-22,0,0,0,1,new,Information Systems;Computer Science Applications;Artificial Intelligence,2014-2014,Universidad del Cauca,60051434,No Aplica,,,
David Revelo Luna,Luna D.,57568224400,9-s2.0-57568224400,,1,2022-04-16,0,0,0,2,new,Multidisciplinary,2021-2021,Corporación Universitaria Comfacauca,127587905,Department of Mechanical Engineering,,,
L. Vargas,Vargas L.,57535235500,9-s2.0-57535235500,,1,2022-03-28,0,0,0,2,new,Education;Computer Networks and Communications;Computer Science Applications;Human-Computer Interaction,2019-2019,Fundación Universitaria de Popayán,116513678,No Aplica,,,
María Fernanda González Valencia,González Valencia M.,57222958991,9-s2.0-57222958991,,1,2021-04-22,0,0,0,4,new,Agronomy and Crop Science;Soil Science,2020-2020,"Ganadería ""Ernesto González Caicedo""",126051165,No Aplica,,,
Constain German Dario Beltran,German Dario Beltran C.,55331928900,9-s2.0-55331928900,,1,2012-08-17,0,0,0,3,update,Computer Networks and Communications,2012-2012,Universidad del Cauca,110113693,Dpto. de Telecomunicaciones,,,
Maria Consuelo Chaves-Periaranda,Chaves-Periaranda M.,57223937632,9-s2.0-57223937632,,1,2021-05-31,0,0,0,2,new,"Health Policy;Public Health, Environmental and Occupational Health;Health Information Management;Epidemiology",2020-2020,Universidad del Cauca,126259046,Audiologa,,,
F. Correa,Correa F.,55046497800,9-s2.0-55046497800,,1,2012-03-13,0,0,0,4,new,Electrical and Electronic Engineering;Condensed Matter Physics,2004-2004,Universidad del Cauca,104717539,Department of Internal Medicine,,,
Mónica María Sinisterra,Sinisterra M.,57218852223,9-s2.0-57218852223,,1,2020-09-14,0,0,0,0,new,"Social Sciences (miscellaneous);Statistics, Probability and Uncertainty;Finance;Business, Management and Accounting (all);Economics and Econometrics",2009-2009,Universidad del Cauca,106009773,Departamento de Ciencias Económicas,,,
Carlos Felipe Ordoñez Urbano,Ordoñez Urbano C.,57879681200,9-s2.0-57879681200,,1,2022-09-15,0,0,0,3,new,Computer Science Applications;Information Systems and Management;Information Systems,2022-2022,Universidad del Cauca,104717527,Department of Physics,,,
Juanita Mena Gallego,Gallego J.,57193905730,9-s2.0-57193905730,,1,2017-04-22,0,0,0,2,update,"Endocrinology;Endocrinology, Diabetes and Metabolism",2016-2016,Universidad del Cauca,104717536,Department of Pediatrics,,,
Pedro L. Solarte,Solarte P.,58104402600,9-s2.0-58104402600,,1,2023-02-21,0,0,0,3,new,Computer Science (all),2022-2022,Universidad del Cauca,60051434,No Aplica,,,
Cristian Felipe Correa-Gallego,Correa-Gallego C.,57209745104,9-s2.0-57209745104,,1,2019-07-13,0,0,0,7,new,Medicine (all),2019-2019,Hospital Universitario San José,114294946,Department of Anesthesiology,,,
Lina María Acosta-Hílamo,Acosta-Hílamo L.,57610914300,9-s2.0-57610914300,,1,2022-04-30,0,0,0,7,new,"Mathematics (all);Earth and Planetary Sciences (all);Agricultural and Biological Sciences (all);Energy (all);Biochemistry, Genetics and Molecular Biology (all);Chemistry (all);History and Philosophy of Science;Physics and Astronomy (all)",2022-2022,Universidad del Cauca,104717530,Department of Biology,,,
Esperanza Collazos-Zuñiga,Collazos-Zuñiga E.,57204065848,9-s2.0-57204065848,,1,2018-10-12,0,0,0,3,new,Management Science and Operations Research,2018-2018,Fundación Universitaria de Popayán,60108709,No Aplica,,,
Juan Manuel Campo Revelo,Revelo J.,57222134311,9-s2.0-57222134311,,1,2021-03-03,0,0,0,3,new,Computer Science (all),2020-2020,Universidad del Cauca,110043908,Exactas y de la Educación,,,
Jaramillo Hurtado Byron,Byron J.,7003385322,9-s2.0-7003385322,,1,2005-12-03,0,0,0,3,update,Mechanical Engineering;Artificial Intelligence,2014-2014,Universidad del Cauca,124225524,Electronics,,,
Jesús Edinson Quiñones Díaz,Díaz J.,57653174500,9-s2.0-57653174500,,1,2022-05-10,0,0,0,4,new,Infectious Diseases;Parasitology,2021-2021,Universidad del Cauca,114232401,Faculty of Health Sciences,,,
Héctor Mauricio Triana-Murcia,Triana-Murcia H.,57209750519,9-s2.0-57209750519,,1,2019-07-13,0,0,0,7,new,Medicine (all),2019-2019,Hospital Universitario San José,114294946,Department of Anesthesiology,,,
Juan David Munoz Sanchez,Sanchez J.,57422878400,9-s2.0-57422878400,,1,2022-01-28,0,0,0,2,new,Computer Vision and Pattern Recognition;Signal Processing;Instrumentation,2021-2021,Universidad del Cauca,60051434,No Aplica,,,
Diego Mauricio López Guitierrez,Guitierrez D.,57223272603,9-s2.0-57223272603,,1,2021-05-17,0,0,0,2,new,Computer Science (all),2021-2021,Universidad del Cauca,60051434,No Aplica,,,
J. D.Valdés Domínguez,Domínguez J.,57197939740,9-s2.0-57197939740,,1,2017-12-06,0,0,0,2,new,Computer Networks and Communications,2013-2013,Universidad del Cauca,60051434,No Aplica,,,
